,TIME,DEPTH,TEMP,PRES,PSAL,CNDC
268,19764.553738425926,25,0.86,27.0,34.825,29.657
269,19764.622731481482,25,7.518,26.0,35.215,35.972
270,19764.66712962963,25,0.516,27.0,34.813,29.351
271,19764.758125,25,7.272,27.0,35.011,35.557
272,19764.931828703706,25,6.922,25.0,34.25,34.543
273,19764.964386574076,25,6.083,26.0,33.878,33.457
274,19764.998877314814,25,6.336,27.0,34.043,33.83
275,19765.030370370372,25,6.287,27.0,33.986000000000004,33.735
276,19765.060671296294,25,6.111,26.0,33.808,33.419000000000004
277,19765.094583333335,25,6.099,25.0,33.664,33.279
278,19765.129618055555,25,7.061,26.0,33.763,34.225
279,19765.166979166668,25,6.617,27.0,33.693,33.766
280,19765.40394675926,25,5.509,27.0,35.054,33.976
281,19765.564456018517,25,5.497,25.0,35.088,33.994
282,19765.73298611111,25,4.908,26.0,35.109,33.477000000000004
283,19765.909386574076,25,4.059,27.0,35.085,32.69
284,19766.08471064815,25,5.04,26.0,35.106,33.593
285,19766.226493055558,25,5.546,26.0,35.111000000000004,34.059
286,19766.37633101852,25,4.448,27.0,35.101,33.054
287,19766.53216435185,25,3.462,26.0,35.07,32.141
288,19766.707164351854,25,2.943,26.0,35.055,31.666
289,19766.82400462963,25,4.231,26.0,35.092,32.85
290,19766.946527777778,25,4.391,26.0,35.095,32.997
291,19767.08101851852,25,5.315,25.0,35.108000000000004,33.846000000000004
292,19767.20954861111,25,5.078,25.0,35.102000000000004,33.625
293,19767.33980324074,25,7.448,28.0,34.846000000000004,35.568
294,19767.544363425925,25,7.723,26.0,35.333,36.271
295,19767.55759259259,25,4.343,27.0,35.088,32.948
296,19767.67667824074,25,7.747,27.0,35.283,36.248
297,19767.693506944444,25,4.368,26.0,35.088,32.97
298,19767.839664351854,25,4.396,27.0,35.088,32.996
299,19767.841631944444,25,7.804,27.0,35.264,36.285000000000004
300,19767.993425925928,25,4.707,28.0,35.089,33.278
301,19768.133611111112,25,4.369,27.0,35.087,32.97
302,19768.23482638889,25,4.32,28.0,35.086,32.925
303,19768.332847222224,25,7.16,27.0,35.229,35.651
304,19768.36087962963,25,3.98,28.0,35.077,32.612
305,19768.464675925927,25,7.468,26.0,35.224000000000004,35.933
306,19768.49111111111,25,4.05,27.0,35.082,32.679
307,19768.616180555557,25,7.534,27.0,35.244,36.013
308,19768.620625,25,3.952,27.0,35.08,32.589
309,19768.727488425928,25,7.61,25.0,35.262,36.1
310,19768.74792824074,25,3.672,26.0,35.074,32.332
311,19768.877604166668,25,4.533,26.0,35.099000000000004,33.128
312,19768.99834490741,25,4.17,26.0,35.093,32.795
313,19769.13605324074,25,3.706,28.0,35.074,32.364
314,19769.19462962963,25,7.465,26.0,35.27,35.972
315,19769.263576388887,25,3.048,28.0,35.062,31.767
316,19769.33304398148,25,7.181,25.0,34.845,35.32
317,19769.448032407407,25,3.833,28.0,35.079,32.482
318,19769.482037037036,25,7.114,26.0,35.24,35.618
319,19769.563587962963,25,3.519,27.0,35.07,32.193
320,19769.586134259258,25,7.239,26.0,35.230000000000004,35.725
321,19769.672650462962,25,3.523,29.0,35.071,32.198
322,19769.759814814814,25,6.974,27.0,35.216,35.466
323,19769.807060185183,25,3.6990000000000003,28.0,35.078,32.361000000000004
324,19769.90229166667,25,6.183,25.0,34.553,34.146
325,19769.94763888889,25,,,,
326,19769.995277777776,25,6.284,26.0,34.745,34.410000000000004
327,19770.050659722223,25,6.3100000000000005,27.0,34.78,34.465
328,19770.105625,25,6.377,26.0,34.926,34.655
329,19770.16025462963,25,6.341,27.0,35.018,34.705
330,19770.216481481482,25,6.215,27.0,34.980000000000004,34.556
331,19770.29451388889,25,6.465,25.0,34.592,34.437
