,TIME,DEPTH,PRES
819,20547.222546296296,25,26.0
820,20547.258912037036,25,28.0
821,20547.361354166667,25,25.0
822,20547.46447916667,25,27.0
823,20547.47128472222,25,26.0
824,20547.524930555555,25,26.0
825,20547.589247685184,25,26.0
826,20547.71363425926,25,26.0
827,20547.73724537037,25,28.0
828,20547.821342592593,25,26.0
829,20547.832291666666,25,27.0
830,20547.853599537037,25,29.0
831,20547.859421296296,25,26.0
832,20547.892824074075,25,26.0
833,20547.96122685185,25,26.0
834,20548.021747685187,25,27.0
835,20548.103506944444,25,26.0
836,20548.163645833334,25,26.0
837,20548.244108796298,25,26.0
838,20548.29238425926,25,27.0
839,20548.316296296296,25,26.0
840,20548.37869212963,25,26.0
841,20548.389525462964,25,27.0
842,20548.40775462963,25,27.0
843,20548.41866898148,25,26.0
844,20548.430879629628,25,26.0
845,20548.44439814815,25,26.0
846,20548.470520833333,25,27.0
847,20548.485243055555,25,26.0
848,20548.48628472222,25,26.0
849,20548.528761574074,25,26.0
850,20548.55912037037,25,26.0
851,20548.569965277777,25,27.0
852,20548.586921296297,25,26.0
853,20548.603055555555,25,27.0
854,20548.62712962963,25,26.0
855,20548.646539351852,25,27.0
856,20548.690787037038,25,26.0
857,20548.756122685187,25,26.0
858,20548.803275462964,25,26.0
859,20548.83040509259,25,27.0
860,20548.843634259258,25,26.0
861,20548.905081018518,25,26.0
862,20548.943796296295,25,27.0
863,20548.99604166667,25,26.0
864,20549.067881944444,25,27.0
865,20549.211678240743,25,25.0
866,20549.298275462963,25,26.0
867,20549.370219907407,25,27.0
868,20549.412349537037,25,27.0
869,20549.45608796296,25,26.0
870,20549.520706018517,25,26.0
871,20549.648715277777,25,26.0
872,20549.697962962964,25,26.0
873,20549.74608796296,25,27.0
